ticker,earnings_date
# Maintain this file by hand. One row per earnings release. Dates are ISO YYYY-MM-DD.
# The event mask (Layer 1C) reads this file; any ticker with no rows here "fails open"
# (no mask applied) and logs a warning.
# Seeded from yfinance by scripts/seed_earnings_dates.py and then reviewed manually.
000660.KS,2004-07-25
000660.KS,2004-10-25
000660.KS,2005-03-02
000660.KS,2005-05-03
000660.KS,2005-07-26
000660.KS,2005-10-12
000660.KS,2006-01-24
000660.KS,2006-04-19
000660.KS,2006-07-19
000660.KS,2006-10-25
000660.KS,2007-01-30
000660.KS,2007-04-25
000660.KS,2007-07-26
000660.KS,2007-10-17
000660.KS,2008-01-31
000660.KS,2008-04-24
000660.KS,2008-07-30
000660.KS,2008-12-16
000660.KS,2009-03-29
000660.KS,2009-05-27
000660.KS,2009-10-20
000660.KS,2010-01-26
000660.KS,2010-04-02
000660.KS,2010-04-30
000660.KS,2010-07-22
000660.KS,2010-10-28
000660.KS,2011-01-27
000660.KS,2011-05-26
000660.KS,2011-07-20
000660.KS,2011-10-26
000660.KS,2012-02-02
000660.KS,2012-07-25
000660.KS,2012-10-24
000660.KS,2013-01-29
000660.KS,2013-04-24
000660.KS,2013-07-24
000660.KS,2013-10-28
000660.KS,2014-01-28
000660.KS,2014-04-23
000660.KS,2014-07-24
000660.KS,2014-10-22
000660.KS,2015-01-28
000660.KS,2015-04-22
000660.KS,2015-08-12
000660.KS,2015-12-10
000660.KS,2016-01-25
000660.KS,2016-04-25
000660.KS,2016-07-26
000660.KS,2016-10-25
000660.KS,2017-01-26
000660.KS,2017-04-24
000660.KS,2017-07-24
000660.KS,2017-10-26
000660.KS,2018-01-25
000660.KS,2018-04-23
000660.KS,2018-07-25
000660.KS,2018-10-24
000660.KS,2019-01-24
000660.KS,2019-05-15
000660.KS,2019-07-25
000660.KS,2019-10-23
000660.KS,2020-01-30
000660.KS,2020-05-15
000660.KS,2020-07-22
000660.KS,2020-11-03
000660.KS,2021-03-22
000660.KS,2021-05-17
000660.KS,2021-08-17
000660.KS,2021-11-15
000660.KS,2022-03-11
000660.KS,2022-04-26
000660.KS,2022-08-16
000660.KS,2022-10-25
000660.KS,2023-02-22
000660.KS,2023-04-26
000660.KS,2023-07-26
000660.KS,2023-10-26
000660.KS,2024-01-25
000660.KS,2024-04-24
000660.KS,2024-07-24
000660.KS,2024-10-23
000660.KS,2025-01-22
000660.KS,2025-04-23
000660.KS,2025-07-23
000660.KS,2025-10-28
000660.KS,2026-01-28
000660.KS,2026-04-22
000660.KS,2026-07-28
000660.KS,2026-10-27
AMZN,2002-04-23
AMZN,2002-07-23
AMZN,2002-10-24
AMZN,2003-01-23
