variant,label,group,cagr,sharpe,max_drawdown,ann_turnover,turnover_membership,turnover_drift,turnover_gate,turnover_reweight,costs_pct_final_equity,held_rank,gate_transitions_per_year,avg_cash,effective_n
L1,"L1 baseline (tiers, top-N, no band, gate scale/weekly)",baseline,0.37546,1.073252,-0.508443,18.773273,9.181207,0.970244,1.747621,6.874202,0.026226,3.0,7.542857,0.083877,4.41426
cum_weighting,+ equal weight,cumulative,0.373773,1.109863,-0.470512,16.53828,12.71997,1.235998,2.059273,0.523039,0.024539,3.0,7.542857,0.083681,4.965113
cum_hysteresis,+ hysteresis (exit rank 8),cumulative,0.364078,1.087122,-0.45371,7.645064,3.716174,1.385145,2.370741,0.173005,0.011685,3.821931,7.542857,0.083718,4.988371
cum_band,+ position band 2pp,cumulative,0.360677,1.084635,-0.456495,6.657196,3.603708,0.59061,2.299231,0.163646,0.010413,3.821931,7.542857,0.088363,4.988371
cum_block,+ gate: block increases,cumulative,0.396014,1.09961,-0.459536,4.500229,3.717791,0.618736,0.0,0.163701,0.006468,3.821931,6.171429,0.034015,4.850892
cum_schmitt,+ gate: Schmitt trigger,cumulative,0.385014,1.088331,-0.434158,4.286614,3.52356,0.597446,0.0,0.165609,0.006359,3.821931,6.171429,0.072757,4.720755
cum_monthly,+ gate: monthly evaluation (= chosen),cumulative,0.397989,1.126135,-0.423504,4.138925,3.400372,0.59957,0.0,0.138983,0.005818,3.821931,2.914286,0.093543,4.65979
only_weighting,L1 + equal weight only,one_at_a_time,0.373773,1.109863,-0.470512,16.53828,12.71997,1.235998,2.059273,0.523039,0.024539,3.0,7.542857,0.083681,4.965113
only_hysteresis,L1 + hysteresis (exit rank 8) only,one_at_a_time,0.3643,1.045226,-0.486827,12.646976,3.231472,1.090512,1.98417,6.340822,0.01754,3.821931,7.542857,0.083956,4.433308
only_band,L1 + position band 2pp only,one_at_a_time,0.373937,1.072024,-0.510628,18.106796,9.115092,0.643605,1.711202,6.636898,0.025394,3.0,7.542857,0.08692,4.41426
only_block,L1 + gate: block increases only,one_at_a_time,0.395161,1.102845,-0.482515,16.604242,9.06142,1.006604,0.175556,6.360662,0.021047,3.0,6.171429,0.089366,4.111719
only_schmitt,L1 + gate: Schmitt trigger only,one_at_a_time,0.361706,1.064151,-0.495355,18.100372,8.791889,0.9348,1.796323,6.57736,0.026836,3.0,7.8,0.124761,4.41426
only_monthly,L1 + gate: monthly evaluation only,one_at_a_time,0.36977,1.057051,-0.526164,17.814678,9.050274,0.986591,0.867375,6.910438,0.025458,3.0,3.428571,0.091991,4.41418
softmax_0.5,chosen with softmax τ=0.5,sensitivity,0.223111,0.835614,-0.360028,10.852991,1.641163,0.58327,0.256093,8.372465,0.025928,3.821931,2.914286,0.460279,2.269994
softmax_1,chosen with softmax τ=1,sensitivity,0.311007,0.983579,-0.396139,10.15061,2.310116,0.687255,0.22689,6.926349,0.016767,3.821931,2.914286,0.277619,3.295003
softmax_2,chosen with softmax τ=2,sensitivity,0.372209,1.062932,-0.446784,8.138229,2.910436,0.779969,0.186097,4.261727,0.011081,3.821931,2.914286,0.149163,4.069497
no_gate,chosen with the macro gate disabled,reference,0.416086,1.129488,-0.491181,4.631701,3.812413,0.631989,0.0,0.187298,0.006404,3.821931,0.0,0.007389,4.988371
no_screen,chosen with the liquidity screen off,reference,0.435962,1.203856,-0.423504,4.18909,3.406612,0.607976,0.0,0.174502,0.005657,3.812111,2.914286,0.094997,4.647977
