variant,label,group,cagr,sharpe,max_drawdown,ann_turnover,turnover_membership,turnover_drift,turnover_gate,turnover_reweight,costs_pct_final_equity,held_rank,gate_transitions_per_year,avg_cash,effective_n
L1,"L1 baseline (tiers, top-N, no band, gate scale/weekly)",baseline,0.062977,0.335178,-0.213377,25.000169,15.593113,0.359581,1.785807,7.261668,0.143244,3.0,7.371429,0.085586,4.444444
cum_weighting,+ equal weight,cumulative,0.078483,0.440576,-0.20783,23.089327,20.54344,0.479281,2.066606,0.0,0.126421,3.0,7.371429,0.085558,5.0
cum_hysteresis,+ hysteresis (exit rank 8),cumulative,0.073743,0.40464,-0.225393,12.654513,9.934002,0.53151,2.189002,0.0,0.072878,3.549918,7.371429,0.085559,5.0
cum_band,+ position band 2pp,cumulative,0.073004,0.40076,-0.225163,12.018358,9.764783,0.123557,2.130018,0.0,0.069387,3.549918,7.371429,0.088152,5.0
cum_block,+ gate: block increases,cumulative,0.086814,0.453633,-0.305419,10.213705,10.119838,0.093867,0.0,0.0,0.05442,3.549918,5.828571,0.053159,4.756137
cum_schmitt,+ gate: Schmitt trigger,cumulative,0.06664,0.350102,-0.305419,9.858887,9.766809,0.092078,0.0,0.0,0.056769,3.549918,6.0,0.110229,4.586555
cum_monthly,+ gate: monthly evaluation (= chosen),cumulative,0.057475,0.299009,-0.305419,9.751598,9.662124,0.089474,0.0,0.0,0.059535,3.549918,2.914286,0.138031,4.488095
only_weighting,L1 + equal weight only,one_at_a_time,0.078483,0.440576,-0.20783,23.089327,20.54344,0.479281,2.066606,0.0,0.126421,3.0,7.371429,0.085558,5.0
only_hysteresis,L1 + hysteresis (exit rank 8) only,one_at_a_time,0.063618,0.336388,-0.221283,18.029603,8.352223,0.39732,1.873279,7.406782,0.107224,3.549918,7.371429,0.085576,4.444444
only_band,L1 + position band 2pp only,one_at_a_time,0.063735,0.339833,-0.213529,24.596839,15.497005,0.198289,1.754183,7.147361,0.140453,3.0,7.371429,0.086571,4.444444
only_block,L1 + gate: block increases only,one_at_a_time,0.051102,0.260598,-0.255386,22.896064,15.457872,0.381116,0.139182,6.917893,0.143603,3.0,5.828571,0.086785,4.163505
only_schmitt,L1 + gate: Schmitt trigger only,one_at_a_time,0.060964,0.328995,-0.220979,24.200991,15.070265,0.343821,1.819,6.967905,0.139727,3.0,7.628571,0.125081,4.444444
only_monthly,L1 + gate: monthly evaluation only,one_at_a_time,0.060719,0.320889,-0.223061,24.154885,15.580248,0.371456,0.878645,7.324536,0.140744,3.0,3.514286,0.092029,4.444444
softmax_0.5,chosen with softmax τ=0.5,sensitivity,0.007711,-0.033669,-0.261929,14.628947,4.679114,0.266925,0.086093,9.596815,0.119918,3.549918,2.914286,0.387945,2.5698
softmax_1,chosen with softmax τ=1,sensitivity,0.023891,0.094524,-0.280006,14.419454,6.788428,0.317229,0.078215,7.235581,0.108593,3.549918,2.914286,0.240017,3.490516
softmax_2,chosen with softmax τ=2,sensitivity,0.041277,0.203554,-0.288617,12.750192,8.262216,0.441526,0.048611,3.997838,0.085723,3.549918,2.914286,0.16366,4.086894
no_gate,chosen with the macro gate disabled,reference,0.099009,0.503285,-0.30542,10.697672,10.568963,0.128708,0.0,0.0,0.052455,3.549918,0.0,0.004258,5.0
no_screen,chosen with the liquidity screen off,reference,0.060502,0.316766,-0.305419,9.587867,9.494213,0.093654,0.0,0.0,0.058677,3.5509,2.914286,0.138005,4.488095
